time,x,y,z
2200,0.044,0.068,0.585
2211,0.068,0.068,0.765
2222,0.183,-0.021,0.913
2233,0.248,-0.068,1.137
2243,0.241,-0.125,1.482
2254,0.198,-0.166,1.829
2268,0.12,-0.169,2.312
2278,0.108,-0.101,2.495
2288,0.128,-0.079,2.663
2298,0.101,-0.114,2.516
2309,0.084,-0.392,2.055
2324,0.379,-0.988,1.607
2331,0.749,-1.294,0.996
2342,1.079,-1.754,0.599
2354,1.273,-1.971,0.379
2364,1.3,-2.164,0.476
2379,1.124,-2.359,0.823
2390,0.434,-2.589,1.067
2400,0.06,-2.808,1.294
2410,-0.348,-3.175,1.227
2424,-0.693,-3.808,0.782
2435,-0.77,-4.494,0.269
2444,-0.495,-5.51,-0.127
2455,-0.334,-5.914,-0.492
2464,-0.403,-6.551,-0.808
2475,-0.582,-6.829,-0.959
2488,-0.854,-7.355,-0.735
2500,-1.459,-8.017,-0.707
2511,-1.912,-8.423,-1.249
2521,-2.029,-8.711,-2.101
2531,-1.818,-9.024,-3.268
2542,-1.531,-9.395,-3.939
2556,-1.338,-9.941,-4.294
2567,-1.521,-10.293,-4.166
2577,-1.797,-10.509,-3.928
2587,-2.043,-10.414,-3.652
2596,-2.087,-10.242,-3.583
2610,-1.907,-9.951,-3.592
2621,-1.487,-10.045,-3.77
2632,-1.313,-10.19,-4.09
2642,-1.351,-9.991,-4.401
2655,-1.464,-9.506,-4.789
2666,-1.439,-8.575,-4.955
2676,-1.126,-7.873,-4.748
2685,-0.886,-6.894,-4.397
2696,-0.635,-5.835,-3.945
2710,-0.451,-4.617,-2.61
2722,0.131,-1.599,-1.089
2731,0.738,1.488,0.077
2741,1.598,5.404,2.037
2748,2.195,8.274,3.228
2758,5.139,13.043,4.903
2773,3.695,16.532,6.133
2784,1.768,15.173,5.264
2795,1.428,16.608,5.833
2804,1.316,23.51,7.411
2810,2.414,29.534,6.658
2826,1.955,32.037,2.783
2835,-0.378,31.541,3.508
2845,-2.998,33.303,3.907
2856,-4.037,37.745,4.881
2866,-6.055,20.86,5.489
2882,-10.221,14.041,2.094
2891,-9.275,8.043,1.266
2897,-9.599,7.527,0.865
2907,-10.164,6.096,0.635
2923,-9.648,6.862,1.247
2933,-7.825,5.812,4.067
2943,-2.287,-0.665,5.282
2954,-0.05,0.191,6.785
2965,3.802,-1.03,7.152
2979,5.729,-0.618,7.495
2990,3.429,0.698,6.351
3000,3.553,2.407,4.634
3009,2.63,2.58,3.671
3019,0.253,3.075,3.104
3030,-3.6,2.706,3.536
3044,-4.004,8.21,-1.536
3055,3.647,4.646,-1.519
3065,-27.815,-3.235,2.582
3075,-17.3,-2.68,0.0
3086,-1.834,0.139,-4.039
3100,-4.169,1.178,-4.88
3111,-7.384,2.88,-5.731
3120,-10.313,2.672,-5.313
3131,-6.848,-3.702,-8.005
3144,-4.498,-7.928,-9.759
3152,-11.703,-13.058,-9.453
3163,-22.286,-14.032,-8.719
3174,-11.594,-13.721,-10.349
3189,-4.623,-15.241,-13.746
3217,0.634,-21.23,-14.955
3228,9.459,-20.149,-18.678
3243,-39.11,-7.344,-8.176
3280,11.279,22.257,-12.508
3290,3.323,27.461,-13.826
3300,-0.357,29.461,-8.953
3315,2.409,26.353,6.063
3324,6.362,21.307,7.543
3331,6.661,16.017,7.923
3346,-7.277,6.737,10.713
3357,8.21,6.36,2.054
3368,-7.625,5.702,0.088
3379,-11.068,6.016,0.547
3388,-2.272,7.456,0.18
3398,-4.118,9.542,3.291
3414,-2.662,8.484,4.019
3421,-0.082,5.888,3.29
3433,-1.505,3.34,3.324
3444,-4.809,3.384,5.36
3458,27.749,14.462,-3.674
3467,-18.728,-4.439,5.416
3479,-14.806,-5.005,6.159
3495,-3.264,4.186,3.069
3505,7.929,8.426,0.228
3515,7.435,5.157,0.028
3525,-5.343,0.005,2.551
3536,-4.453,1.691,3.607
3547,-0.584,7.129,3.19
3562,4.28,9.806,0.955
3573,4.138,8.5,0.753
3583,2.172,7.081,1.08
3594,-0.815,10.267,2.162
3609,1.385,10.468,0.05
3616,-5.186,11.74,1.385
3628,-11.346,12.625,2.839
3641,-20.09,12.534,2.68
3647,-16.938,19.423,4.552
3663,-11.72,20.82,3.034
3674,1.476,21.446,-18.117
3684,-5.337,1.252,-39.924
3695,3.275,-23.499,-40.029
3730,19.502,3.183,1.779
3737,17.356,4.52,8.476
3747,16.146,-0.808,4.425
3758,9.858,-8.735,0.849
3767,-1.561,-9.418,-0.173
3782,2.957,-4.716,0.665
3791,-3.685,-4.987,1.252
3802,-3.682,-6.093,1.348
3813,1.153,-6.513,0.942
3829,6.63,-7.605,-6.85
3837,-7.021,-3.814,-2.669
3845,-4.808,-13.58,2.633
3856,17.941,-8.227,-5.242
3866,19.942,-7.697,-4.107
3880,10.071,-6.796,-4.957
3890,-7.743,-6.096,-6.221
3901,-19.18,-2.039,-6.861
3911,-15.313,1.363,-6.827
3921,-7.872,0.634,-7.272
3934,-4.474,-2.151,-10.292
3944,-8.376,-5.052,-12.088
3958,-6.749,-8.939,-15.441
3969,-11.13,-8.855,-12.22
3980,-7.85,-7.198,-9.405
3989,-5.844,-5.277,-7.853
3998,-6.272,-7.009,-4.661
4014,0.847,-8.134,-6.776
4020,11.35,-9.807,-11.94
4033,11.113,0.314,-12.459
4047,22.827,12.447,-21.922
4058,6.029,25.921,-17.353
4067,-7.179,29.111,-7.616
4078,10.441,32.403,-7.589
4092,-4.602,23.048,0.538
4103,-12.733,12.316,9.72
4113,7.916,9.365,2.993
4123,-7.5,3.366,1.991
4136,-9.148,1.75,2.05
4146,0.564,6.694,1.664
4158,-2.412,11.36,3.582
4166,0.806,12.267,3.814
4177,-1.102,8.441,3.489
4187,-0.464,4.658,3.372
4201,-9.208,1.653,6.616
4211,39.999,6.52,-7.029
4219,-24.766,-5.031,5.154
4229,-27.964,-11.796,7.09
4242,-9.257,-2.307,6.296
4253,10.745,6.155,0.346
4263,19.513,2.91,0.238
4272,4.32,9.801,1.539
4286,8.491,8.486,-2.178
4293,-7.715,2.387,2.413
4307,-6.176,1.444,3.534
4315,3.434,3.935,2.421
4328,6.137,8.051,2.645
4338,5.142,6.701,2.937
4349,0.32,7.45,2.584
4359,-2.342,7.936,3.113
4371,-3.602,6.027,1.675
4379,-17.129,10.734,2.914
4395,-14.332,7.384,1.064
4404,-19.807,5.825,0.437
4415,-18.328,6.579,1.459
4425,-12.017,10.026,1.806
4436,-8.355,13.186,-4.941
4450,-3.071,11.198,-23.677
4461,-1.824,-13.725,-32.224
4492,5.15,0.931,-0.935
4502,13.667,3.096,3.089
4517,6.572,-3.519,1.19
4527,-1.133,-6.592,-2.303
4538,-0.186,-5.533,0.153
4549,-0.073,-3.175,0.467
4565,-1.907,-7.019,0.349
4576,4.823,-6.107,3.949
4587,-11.453,-5.516,-3.113
4598,-4.167,-8.807,0.639
4608,22.233,-6.282,-4.326
4617,29.926,-3.119,-4.784
4631,18.152,-2.129,-3.383
4639,1.564,-3.979,-3.239
4649,-7.751,-6.718,-3.729
4660,-12.057,-4.711,-4.864
4675,-12.812,-3.742,-7.429
4685,-8.752,-6.062,-7.616
4696,-4.184,-7.611,-7.321
4705,-8.046,-7.633,-8.033
4714,-15.615,-7.742,-10.379
4730,-13.349,-9.345,-9.409
4739,-15.839,-10.026,-7.304
4750,-11.853,-7.438,-6.534
4760,-9.886,-6.601,-3.23
4770,1.041,-7.391,-5.101
4784,-0.106,-6.28,-8.344
4794,13.894,2.756,-11.666
4803,26.664,9.043,-18.442
4814,4.261,28.884,-16.66
4820,4.355,30.044,-17.625
4831,-1.947,35.205,-6.817
4845,-4.92,27.465,0.568
4856,-1.907,21.537,4.48
4870,-8.655,12.776,6.386
4881,-11.358,3.257,6.855
4889,-6.385,-0.757,2.606
4896,-6.949,-1.747,3.191
4906,-1.005,1.761,1.785
4920,-2.275,7.121,2.301
4931,1.352,9.901,1.332
4941,-0.28,8.684,1.802
4951,-6.175,1.839,4.244
4964,10.993,10.028,-7.853
4978,38.591,9.358,3.952
4989,-23.203,-7.295,7.699
4999,-12.555,-0.379,7.046
5010,3.947,2.619,1.626
5021,22.474,4.391,-2.049
5035,5.942,7.091,1.042
5042,10.695,6.399,-2.96
5054,-6.371,1.177,1.582
5065,-9.23,-0.801,3.712
5079,-0.975,3.15,2.604
5090,2.476,6.496,0.911
5100,0.011,4.376,1.252
5109,-2.184,5.515,1.989
5120,-5.73,6.504,3.1
5131,-3.361,11.439,3.372
5144,-15.637,6.407,3.478
5154,-15.592,3.57,1.399
5165,-19.427,3.922,-0.215
5174,-20.564,2.661,1.166
5184,-6.745,8.928,-1.785
5200,-9.356,6.661,-17.278
5210,-6.392,-0.497,-29.074
5220,-14.189,-19.327,-30.599
5229,-4.845,-25.308,-30.039
5263,12.024,1.818,5.872
5276,-0.754,-5.724,1.539
5285,3.26,-5.262,-0.932
5295,0.514,-4.906,1.443
5309,-3.246,-5.119,1.743
