time,x,y,z
2261,9.283,-0.728,3.978
2271,8.646,-0.565,3.638
2282,8.191,-0.527,3.351
2292,7.861,-0.737,3.303
2303,7.722,-0.962,3.212
2317,7.87,-0.776,3.222
2327,8.076,-0.579,3.265
2338,8.095,-0.546,3.164
2349,8.009,-0.536,2.796
2359,7.861,-1.005,2.461
2369,7.578,-1.288,1.834
2384,7.195,-1.427,1.077
2395,6.702,-1.427,0.378
2402,6.118,-1.786,-0.565
2413,5.41,-2.082,-1.307
2427,4.926,-2.336,-1.757
2436,4.084,-2.834,-1.877
2447,2.662,-2.959,-2.935
2461,1.934,-1.972,-3.619
2471,1.944,-0.972,-3.758
2482,2.106,-0.364,-4.385
2492,2.446,0.79,-4.926
2503,2.485,1.546,-5.438
2514,2.987,2.762,-5.702
2529,2.791,3.983,-5.931
2541,2.346,4.366,-6.463
2550,1.546,4.49,-7.411
2561,0.943,3.495,-8.751
2572,1.24,2.154,-10.408
2580,1.642,1.149,-11.308
2597,2.054,0.776,-12.916
2605,1.924,0.732,-14.73
2614,2.604,2.221,-16.258
2623,4.313,4.141,-17.488
2639,6.358,7.152,-18.254
2650,8.708,7.956,-19.432
2660,10.446,6.104,-21.883
2671,12.069,4.701,-25.478
2680,13.874,3.054,-26.569
2691,15.879,2.801,-27.479
2706,16.98,2.829,-28.106
2717,17.967,2.14,-29.207
2725,18.177,1.738,-30.126
2734,18.398,1.245,-30.873
2743,17.895,0.598,-30.873
2758,18.24,0.225,-30.098
2771,17.603,-0.421,-29.073
2780,16.99,-0.182,-28.044
2795,16.712,0.182,-26.455
2806,16.545,0.249,-25.248
2814,15.243,0.345,-24.291
2826,12.634,-0.742,-23.668
2836,11.796,-0.756,-23.079
2850,11.442,0.469,-21.935
2860,11.954,1.934,-21.169
2871,12.413,3.14,-20.796
2880,11.777,3.801,-20.695
2891,14.113,2.226,-18.824
2905,18.287,1.709,-15.908
2916,19.02,0.953,-13.912
2926,24.439,0.44,-13.749
2936,28.456,-1.422,-13.902
2947,33.813,-3.935,-13.998
2961,39.328,-5.922,-13.582
2972,44.881,-6.104,-18.9
2983,48.878,-10.81,-31.658
2990,54.249,5.735,-34.684
3003,63.69,4.907,-35.435
3014,46.02,3.983,-37.47
3023,68.042,7.99,-24.832
3034,103.444,13.888,-49.749
3045,127.198,16.626,-88.029
3058,135.576,18.105,-101.481
3069,136.447,17.34,-113.76
3079,68.836,13.141,-62.11
3090,41.831,18.656,-52.713
3103,22.649,24.846,-54.13
3110,17.828,21.825,-26.617
3120,24.032,18.11,-30.457
3133,17.723,13.088,-16.004
3145,10.695,3.045,-14.314
3156,1.072,3.82,-23.759
3170,7.162,-2.504,-7.42
3179,-0.598,-4.577,-15.353
3189,6.128,-7.54,-13.361
3201,11.681,-10.958,1.106
3212,9.68,-10.508,-2.537
3226,9.57,-11.183,-2.523
3235,11.394,-2.734,6.3
3243,5.836,0.699,1.685
3253,10.422,2.537,6.779
3264,-6.745,-6.29,-6.257
3278,-42.19,29.801,-48.012
3288,8.684,21.174,31.649
3298,14.979,2.805,12.883
3309,5.079,-11.513,7.133
3320,-4.826,1.632,-2.015
3330,-7.569,9.455,-0.919
3345,-9.857,19.374,-1.695
3354,-5.817,2.662,9.522
3365,3.82,4.505,9.129
3372,3.385,-0.656,7.439
3382,3.739,8.445,7.037
3393,0.062,8.588,0.862
3405,-1.546,9.689,6.879
3421,8.124,3.174,3.806
3431,16.736,23.381,2.37
3440,9.618,26.651,-8.263
3450,15.851,18.723,-18.484
3458,7.181,40.448,-38.978
3472,17.426,30.682,-67.836
3483,21.155,-16.866,-69.583
3494,38.155,-20.193,-56.806
3503,39.131,-137.615,-40.955
3540,26.747,3.404,-86.865
3551,66.491,-94.874,-61.555
3561,93.926,-44.689,15.315
3570,37.159,-34.703,0.426
3582,6.003,-29.901,-13.184
3593,-3.337,17.847,-2.025
3601,-8.263,19.159,0.378
3611,-6.3,-7.31,-0.249
3618,-6.262,-1.431,-8.541
3632,-11.638,-5.63,-18.919
3643,-12.15,-1.704,-26.861
3654,1.762,-36.431,-36.896
3665,-14.707,132.857,-5.778
3673,-35.297,-54.46,-62.814
3687,21.016,-27.675,-13.17
3698,15.875,8.531,-1.139
3708,2.183,14.821,5.199
3719,-5.936,-5.429,0.134
3729,-8.804,-0.776,9.12
3741,10.029,-12.547,2.14
3755,13.634,-18.421,3.993
3766,17.718,-8.406,4.495
3775,11.815,-1.929,-1.427
3786,12.045,-9.177,-8.813
3800,0.728,1.781,-12.543
3811,-23.553,12.452,-9.934
3821,-1.269,18.704,-7.387
3832,3.657,42.43,0.34
3846,3.744,2.14,-13.471
3858,16.191,11.858,9.34
3867,26.057,-37.657,-19.862
3878,-26.277,130.765,-121.822
3889,14.065,50.214,-134.819
3920,103.697,-125.929,-44.306
3931,37.25,-29.456,-25.009
3942,-3.231,-12.5,-39.122
3977,5.692,12.413,12.054
3987,-3.308,6.879,3.227
4000,-11.15,-4.433,-3.576
4009,-14.434,2.039,-18.273
4019,1.068,-27.345,-18.129
4030,25.215,121.3,65.006
4045,-27.541,-55.734,-63.388
4056,25.875,-68.324,-21.615
4067,31.395,6.247,-2.092
4083,-14.592,15.563,-12.375
4094,-20.092,27.905,-10.791
4102,-26.052,46.125,2.719
4113,-9.412,-9.756,2.48
4122,16.521,-23.127,9.646
4135,19.771,-10.819,7.554
4146,8.057,-6.453,-1.111
4155,0.124,-10.853,-1.542
4162,11.504,-11.647,-5.017
4173,10.068,-10.388,-5.228
4189,-23.328,-1.407,-23.506
4198,-12.064,10.001,-11.561
4209,-1.479,31.122,5.673
4220,-14.893,-12.93,-21.883
4232,-7.459,10.412,-3.978
4244,-1.044,-23.764,-17.464
4252,-7.53,20.475,-25.712
4266,-44.972,59.506,-91.274
4276,17.536,25.708,-86.688
4306,56.911,-96.272,-9.713
4321,-1.518,-26.1,-38.614
4330,-0.981,24.635,-21.854
4338,-3.729,26.885,-1.336
4348,-5.778,-2.848,-0.886
4359,2.092,7.65,5.309
4373,0.105,11.284,5.209
4382,-0.536,1.36,-7.334
4389,-8.675,-20.652,-24.42
4404,21.983,45.939,32.453
4415,-38.121,-9.297,-70.981
4424,2.24,-77.085,-32.132
4435,22.203,9.206,-2.374
4445,-9.953,21.677,-2.643
4456,-21.82,16.985,-10.111
4469,-3.581,-7.238,-2.13
4479,-10.623,26.143,19.613
4493,4.543,-3.5,5.922
4504,8.708,-16.463,3.504
4514,3.002,-10.786,-2.049
4527,1.671,-8.244,-5.864
4538,8.191,-7.21,-5.869
4549,5.539,-7.583,-16.344
4559,-21.39,-2.015,-30.993
4575,9.393,13.974,-9.508
4584,-5.52,31.496,-5.118
4594,3.279,32.046,0.235
4604,-8.052,-11.48,-5.132
4615,-7.229,-1.786,6.808
4631,-20.93,51.631,-19.077
4640,-33.851,45.675,-75.309
4651,19.733,32.917,-82.782
4661,87.114,-119.802,-67.582
4696,19.996,-27.431,-32.147
4705,-4.782,12.04,-29.145
4715,-6.013,21.37,-4.127
4726,-8.569,2.245,-1.522
4738,2.935,-3.016,1.642
4753,-5.496,0.689,-4.869
4763,1.968,-5.97,-4.036
4774,5.975,-22.371,-21.634
4782,13.979,87.507,61.919
4791,-68.587,-34.038,-57.313
4805,31.941,-95.142,-31.515
4816,39.351,-15.286,-5.826
4825,-9.23,31.055,-2.652
4834,-24.76,15.09,-11.379
4847,-10.527,21.007,1.733
4858,-10.575,9.527,9.996
4868,10.374,-9.967,11.078
4879,18.465,-21.059,4.06
4889,6.42,-14.912,-0.838
4903,3.188,-8.909,-8.335
4912,-2.231,-4.835,-6.405
4923,0.555,-2.255,-9.163
4932,-22.457,5.232,-17.598
4946,-24.698,18.216,-7.712
4956,-11.183,24.157,-1.565
4967,-5.673,11.781,0.833
4977,2.327,-4.261,-2.087
4988,13.744,-45.92,2.102
4999,-0.723,-8.746,-8.488
5011,-39.768,78.77,-56.552
5021,-17.694,16.301,-103.63
5035,69.722,84.524,-55.236
5042,142.69,-110.596,-20.49
5076,-4.265,-5.572,-35.483
5086,-1.862,20.126,-6.3
5101,-3.677,30.993,3.95
5110,-4.198,8.943,6.018
5121,0.407,-10.805,-2.274
5131,-2.379,-11.6,-10.446
5138,1.58,-25.21,-15.99
5148,8.421,-31.869,-9.168
5162,18.685,120.075,52.828
5173,-48.39,-29.384,-52.55
5183,23.563,-59.831,-10.532
5194,6.219,27.651,1.202
5202,-9.666,20.509,-11.288
5216,-25.061,14.654,-14.62
5226,-23.108,31.309,-0.412
5237,-4.352,13.672,13.615
5251,16.358,-22.404,14.817
5261,16.047,-8.488,7.554
5272,-4.165,-4.423,0.694
5280,-5.615,-5.826,-6.243
5287,2.073,0.934,0.665
5301,3.82,-9.584,-1.23
5312,-6.324,-16.162,-20.968
5322,-11.863,-8.914,-19.604
5333,-7.272,-12.504,-13.299
5344,1.384,44.981,8.383
5358,-3.825,-0.584,-0.785
5369,2.288,-2.705,14.898
5381,-9.819,59.448,-28.671
5395,-19.403,56.361,-76.831
5406,7.961,17.1,-111.467
5416,82.107,-24.851,-85.668
5426,118.083,-94.668,-37.46
5459,-7.554,22.558,-33.655
5470,-4.605,20.298,3.021
5481,-4.653,-9.139,-7.037
5491,-5.338,-8.722,-7.775
5505,-5.041,8.335,-2.959
5516,0.996,6.831,-0.943
5527,9.125,-31.309,-16.837
5538,15.511,-34.119,68.051
5548,-24.051,-55.092,-50.209
5560,28.69,-69.578,-10.891
5572,18.034,5.659,-10.652
5584,-7.372,23.573,-8.138
5594,-21.662,27.766,-5.582
5604,-10.47,24.027,8.866
5619,-14.266,17.861,13.117
5628,7.573,-10.068,7.708
5638,16.387,-15.401,7.162
5649,8.502,-12.466,2.188
5663,6.927,-14.156,-9.297
5675,-1.814,-12.495,-14.898
5683,-2.59,-10.484,-19.795
5694,-11.997,11.169,-24.166
5704,-6.726,36.584,-3.863
5714,-28.231,36.067,-14.721
5728,-9.335,7.645,-4.055
5736,2.753,-1.623,-8.536
5751,5.817,-44.033,-16.411
5762,9.776,-44.086,-11.58
5770,-11.829,17.818,-25.746
5777,-19.934,32.419,-62.536
5788,10.106,1.312,-74.72
5801,60.87,-47.188,-52.028
5810,101.246,-108.403,2.159
5847,-4.854,19.7,-5.323
5856,0.613,9.196,7.095
5866,7.717,-2.465,3.322
5877,-0.651,9.244,0.776
5891,-3.313,-9.838,-10.599
5902,2.724,-26.617,-32.606
5913,17.124,59.626,43.851
5923,-76.946,17.651,-23.343
5930,-10.178,-87.057,-60.1
5944,43.445,-53.493,-9.0
5954,5.797,32.812,-8.856
5961,-25.856,15.669,-18.67
5972,-18.23,12.026,-11.872
5985,-3.27,4.237,9.694
5995,-8.368,13.452,9.56
6009,9.991,-11.293,12.528
6017,15.094,-13.716,5.946
6028,4.854,-4.993,0.723
6039,-7.071,-5.266,-7.344
6053,3.878,6.922,1.867
6063,-3.624,2.877,-5.73
6074,-17.196,17.617,-0.876
6084,-3.854,18.12,-15.985
6095,1.824,-6.243,-11.518
6109,-6.707,-14.228,-18.11
6119,7.722,-42.152,-10.767
6128,14.108,-32.132,1.293
6139,-16.31,73.355,-42.329
6147,-43.813,35.641,-87.842
6160,5.735,64.083,-55.006
6169,93.692,-26.952,-57.414
6180,73.743,-79.814,1.924
6191,50.051,-92.155,-2.829
6204,5.209,-29.413,-46.221
6216,-7.511,-1.656,-42.411
6224,-2.963,33.511,-5.668
6234,-3.94,2.346,-6.18
6245,-4.486,3.839,-5.745
6255,-7.344,1.297,-12.734
6268,6.875,-23.214,-17.024
6279,12.772,-20.791,-2.647
6294,12.978,147.635,41.788
6304,-45.719,-86.027,-69.191
6313,26.019,-22.744,-16.904
6322,5.395,46.312,9.187
6337,-17.876,31.764,-8.766
6348,-24.42,29.815,-5.826
6356,-18.412,43.655,9.843
6366,-7.181,-16.061,-3.705
6377,19.388,-16.985,11.188
6384,23.917,-18.139,8.445
6399,18.962,-11.916,4.04
6407,8.794,-24.358,-10.566
6419,1.125,-24.386,-11.959
6431,6.243,-12.083,-9.326
6445,-6.305,1.671,-10.589
6454,-11.298,32.611,-2.26
6465,-30.476,51.746,0.464
6476,-8.569,-4.476,-16.732
6491,1.455,-21.978,-10.738
6500,13.414,-35.258,-16.454
6511,4.227,-2.834,-3.94
6522,-29.825,77.812,-39.232
6536,-38.566,9.833,-109.691
6544,46.872,36.268,-54.551
6557,67.663,-133.173,-50.716
6568,51.267,-74.504,-15.334
6579,29.786,-40.065,-14.381
6589,17.44,-25.693,-7.636
6598,-2.662,1.786,-17.488
6607,-6.994,8.871,-10.743
6621,-0.469,-10.465,-5.74
6632,3.969,-2.351,-1.36
6642,0.622,-6.434,-6.606
6653,-0.321,-16.018,-12.945
6664,11.475,-10.412,-7.53
6674,-17.048,97.914,49.491
6691,-28.743,-61.861,-48.797
6700,24.41,-14.764,-3.82
6711,3.222,21.83,1.891
6722,-8.325,1.364,-11.853
6734,-9.326,4.629,-6.788
6745,-0.316,17.287,14.338
6759,-10.479,-4.797,2.322
6771,-0.239,-20.796,1.441
6779,11.001,-2.576,3.988
6789,-0.536,-6.669,-8.713
6800,2.169,-4.117,-5.563
6815,1.92,-9.675,-7.128
6824,-3.902,-1.202,-4.294
6831,-11.035,24.353,5.065
6842,3.404,53.196,15.607
6856,-47.37,29.011,-37.504
6867,-27.67,-4.577,-34.574
6878,6.262,-41.975,-17.119
6888,14.869,-46.681,-12.418
6899,18.407,-59.444,5.831
6910,-18.651,47.198,-3.447
6923,-27.522,39.203,-63.853
6934,-18.503,8.225,-89.843
6943,49.558,-2.035,-62.177
6953,86.994,-60.296,13.883
6964,45.158,-61.742,-0.68
6978,18.263,-2.633,-24.051
6987,-14.3,22.409,-28.427
6996,-3.361,11.418,-8.239
7007,2.102,-3.045,-5.716
7020,-2.183,-7.813,-7.564
7029,-3.274,-5.261,-8.143
7045,2.853,-0.431,-5.304
7055,11.954,-48.859,-23.932
7066,35.33,97.799,79.048
7077,-71.402,-79.608,-49.05
7085,22.151,-30.849,-7.061
7097,9.991,21.557,2.054
7111,-13.878,13.577,-12.705
7120,-24.152,30.461,-5.156
7129,-10.403,3.586,10.106
7139,-8.852,25.717,20.011
7154,1.015,-8.732,1.762
7165,10.57,-27.359,1.628
7175,16.272,-8.837,-2.13
7185,3.303,-10.843,-7.348
7191,-7.822,-12.05,-12.069
7206,4.16,-16.794,-4.739
7217,3.969,-12.074,-7.133
7225,-14.247,2.465,-10.202
7236,-12.332,48.457,-1.963
7246,-26.459,40.898,-22.491
7260,-12.93,20.963,-7.439
7271,5.869,-24.051,-8.459
7280,14.343,-64.398,-9.57
7290,7.08,-32.678,-2.006
7306,-27.661,67.908,-28.623
7315,-25.703,1.393,-88.206
7323,34.569,57.936,-31.883
7337,64.93,-106.637,10.977
7346,52.564,-94.429,-1.628
7357,26.723,-6.951,17.584
7370,-9.876,-11.858,-25.598
7380,-10.35,4.988,-2.231
7391,0.661,22.347,13.663
7402,-6.808,-3.504,6.267
7416,-5.204,-14.003,-7.348
7427,-3.748,-8.742,-9.445
7437,5.908,-10.326,-15.42
7447,5.247,-34.832,-14.218
7457,28.647,87.248,100.897
7463,-49.558,10.949,17.44
7478,-10.254,-45.8,-40.577
7488,28.963,-10.556,-7.353
7496,10.671,9.01,-3.815
7505,-2.734,8.56,-6.616
7520,-12.404,1.594,-16.961
7530,-7.602,16.396,-14.242
7539,-7.353,13.778,-16.382
7550,-2.102,6.123,-19.432
7560,1.106,-2.307,-21.964
7573,9.153,-15.257,-24.09
7584,6.827,-17.311,-17.244
7594,10.072,1.924,-25.416
7605,3.954,-10.623,-21.964
7616,11.102,0.22,-16.98
7626,12.471,16.468,-13.83
7641,11.355,14.917,-12.313
7651,8.043,13.878,-16.66
7661,7.2,13.376,-18.522
7668,17.22,8.392,-22.366
7678,7.88,-1.297,-30.241
7691,9.062,-12.653,-38.059
7702,24.875,-10.01,-129.453
7711,-150.507,63.163,-156.783
7722,156.788,-46.863,-129.4
7752,-7.617,-37.772,-15.587
7763,-23.123,-25.262,-11.624
7776,10.144,28.666,24.08
7787,29.94,-16.708,16.684
7796,22.668,-12.514,13.811
7807,3.892,-5.879,8.177
7818,3.514,-12.547,6.439
7831,1.92,-6.97,5.142
7842,-8.268,-7.736,0.177
7854,-12.524,-5.031,-0.613
7863,-11.896,-4.917,0.833
7873,-13.816,-3.337,0.675
7888,-14.017,-1.934,1.216
7899,-9.962,-3.093,2.489
7908,-8.952,-2.025,3.126
7919,-10.848,-2.097,2.063
7929,-12.011,-1.565,1.958
7944,-11.437,-0.819,2.025
7955,-10.642,-0.752,2.221
7964,-9.196,-1.561,3.351
7974,-9.177,-1.259,3.059
7991,-8.727,-2.647,2.959
8002,-7.258,-3.5,2.777
8012,-5.998,-4.299,3.308
8022,-7.219,-3.207,2.753
8031,-9.479,-3.212,2.303
8046,-9.306,-2.959,2.509
8057,-9.01,-2.58,2.518
8067,-10.264,-3.413,1.8
8079,-10.589,-3.04,1.896
8089,-10.891,-3.59,1.489
8099,-10.719,-3.385,1.637
8112,-10.862,-3.145,1.527
8122,-9.541,-5.075,2.049
8138,-8.698,-3.657,2.293
8147,-10.106,-3.274,1.877
8157,-10.566,-3.705,1.915
8168,-10.422,-3.629,1.877
8177,-10.489,-3.03,2.035
8192,-10.321,-2.729,2.145
8202,-9.857,-2.69,2.001
8213,-8.952,-3.255,2.001
8224,-8.828,-3.361,1.767
8232,-9.048,-3.27,1.604
8243,-10.896,-3.523,1.197
8256,-11.154,-3.083,1.111
8267,-10.68,-2.906,1.723
8278,-10.274,-3.054,1.565
8289,-9.632,-3.705,1.407
8303,-9.019,-4.481,1.599
8313,-9.479,-3.389,1.542
8324,-10.269,-3.346,1.498
8335,-10.211,-4.117,1.168
8346,-9.675,-3.294,1.68
8357,-8.885,-2.643,2.327
8370,-8.43,-3.83,2.475
8379,-8.531,-3.495,2.269
8390,-8.89,-3.313,2.049
8404,-8.933,-3.15,1.977
8415,-8.201,-3.844,2.03
8423,-8.282,-4.682,1.843
8433,-8.325,-4.371,1.857
8447,-8.301,-3.806,1.79
8457,-8.698,-4.098,1.575
8472,-9.034,-3.519,1.57
8483,-10.005,-3.657,0.89
8492,-10.877,-2.743,0.977
8503,-10.503,-2.623,1.283
8514,-9.35,-3.303,1.374
8528,-8.703,-4.002,1.618
8539,-8.78,-4.4,1.407
8548,-8.943,-3.844,1.384
8555,-9.594,-3.681,1.206
8571,-10.216,-3.227,1.015
8582,-9.953,-2.585,1.192
8591,-9.565,-2.662,1.384
8599,-9.354,-2.915,1.436
8608,-8.804,-3.117,1.518
8624,-7.664,-4.658,1.618
8634,-7.727,-4.902,1.666
8645,-8.646,-4.773,1.36
8654,-9.608,-4.572,1.211
8665,-9.589,-3.902,1.388
8678,-9.321,-3.375,1.551
8690,-9.278,-2.394,1.709
8698,-9.292,-2.829,1.498
8708,-9.259,-2.911,1.522
8718,-8.967,-3.217,1.623
8731,-9.024,-3.188,1.503
8741,-9.311,-3.112,1.379
8751,-9.445,-3.131,1.369
8762,-9.584,-3.164,1.283
8773,-9.536,-3.217,1.283
8786,-8.799,-4.146,1.288
8798,-8.67,-4.366,1.178
8807,-9.302,-3.595,1.001
8818,-9.958,-3.648,0.785
8829,-10.388,-3.169,0.91
8837,-10.053,-3.112,1.154
8851,-9.426,-3.782,1.226
8862,-9.22,-3.38,1.331
8869,-9.498,-3.452,1.259
8879,-9.364,-3.667,1.168
8893,-9.081,-3.533,1.269
8905,-8.818,-3.95,1.24
8914,-9.498,-4.084,0.876
8925,-9.967,-3.753,0.852
8935,-9.517,-3.844,1.053
8949,-9.014,-4.16,1.082
8957,-8.608,-4.596,1.111
8970,-8.789,-3.997,1.154
8979,-9.192,-3.629,1.115
8988,-9.522,-3.878,0.962
9000,-9.517,-3.318,1.192
9015,-9.373,-3.547,1.245
9025,-8.914,-3.375,1.317
9033,-8.545,-3.456,1.398
9045,-8.689,-4.395,1.068
9056,-9.034,-3.878,1.154
9070,-9.311,-3.634,1.202
9081,-9.441,-3.725,1.015
9090,-9.752,-3.399,1.039
9100,-9.249,-3.026,1.273
9111,-8.856,-3.476,1.326
9125,-8.727,-3.849,1.245
9136,-9.034,-4.002,1.144
9146,-9.273,-4.04,1.072
9157,-9.627,-3.945,0.89
9167,-9.886,-3.581,0.89
9177,-9.551,-3.461,1.202
9191,-9.019,-3.643,1.494
9202,-8.32,-3.394,1.714
9213,-8.253,-3.653,1.594
9223,-8.411,-4.529,1.427
9231,-8.856,-3.772,1.297
9242,-9.192,-4.189,1.135
9256,-9.8,-4.055,0.871
9265,-10.278,-3.547,0.819
9274,-10.139,-3.409,1.001
9284,-9.46,-3.361,1.283
9301,-8.383,-3.495,1.594
9312,-8.052,-4.002,1.537
9322,-8.651,-4.084,1.202
9331,-9.895,-4.16,0.886
9347,-10.278,-3.547,0.814
9356,-10.302,-3.581,0.819
9367,-9.546,-3.365,1.283
9376,-8.933,-3.38,1.46
9387,-8.545,-3.863,1.474
9402,-8.11,-4.16,1.58
9412,-8.272,-4.079,1.369
9423,-9.01,-4.117,1.13
9432,-9.555,-3.251,0.445
9443,-10.202,-2.877,1.029
9454,-9.158,-3.409,1.235
9468,-8.88,-3.595,1.259
9478,-8.708,-3.887,1.221
9489,-8.225,-4.5,1.197
9497,-7.971,-3.964,1.173
9508,-8.627,-4.16,1.034
9521,-9.321,-3.389,0.977
9531,-9.718,-3.069,0.91
